SampleCode,Cluster,Station,Sinkhole,Area,Date ,Time,Bottom depth (m),pH (na),Temperature (°C),Depth (m),Pressure (dBar),Salinity (ppt),Chlorophyll (μg/kg),Oxygen (μmol/kg),Transmissivity (%),Phosphate (μmol/kg),Ammonium (μmol/kg),Nitrite (μmol/kg),Nitrate (μmol/kg),Silicate (μmol/kg),DIC (μmol/kg),TA (μmol/kg),DOC  (μmol/kg),TN  (μmol/kg)
31-1-2,Acid Lake,31,3,N,12.12.2019,12:41,311,6.21,20.27,289.8,291.8,36.51,0.04,62.6,90.44,0.96,0.06,0.03,17.21,30.23,5308.2,3673.5,,19.4
34-1-2,Acid Lake,34,3,N,12.12.2019,17:05,280,6.22,20.28,268.9,270.7,36.51,0.04,59.5,90.33,1.01,0.06,0.01,17.5,31.04,5298.9,3697.7,165.9,20
59-1-15,Acid Lake,59,3,N,16.12.2019,12:02,306,6.36,20.48,220.8,222.3,36.53,0.03,64.9,93.21,0.98,0.09,0.02,16.72,24.95,4637.6,3539,321.7,18.8
59-1-3,Acid Lake,59,3,N,16.12.2019,12:02,306,6.24,20.28,297.7,299.7,36.51,0.04,60.7,89.85,0.93,0.07,0.04,16.91,30.1,5203.7,3680.5,253.5,19.9
59-1-6,Acid Lake,59,3,N,16.12.2019,12:02,306,6.23,20.28,274.2,276,36.51,0.05,60.4,89.66,0.96,0.12,0.04,17.12,30.28,5239.8,3685.8,113.9,19.2
59-1-9,Acid Lake,59,3,N,16.12.2019,12:02,306,6.22,20.28,297.7,299.7,36.51,0.04,60.7,89.85,0.93,0.07,0.04,16.91,30.1,5296.5,3695.5,110.4,19.3
27-1-2,Deep Sinkhole,27,17,FS,11.12.2019,,126,7.98,25.62,117.3,118,37.21,0.17,179.6,96.32,0.05,0.08,0.15,0.79,2.12,2138.5,2443.1,124.4,5
29-1-2,Deep Sinkhole,29,17,FS,12.12.2019,08:30,126,7.96,25.62,115.6,116.3,37.22,0.15,176.7,95.56,0.06,0.06,0.18,0.77,2.96,2155.6,2449.9,,5
31-1-8,Deep Sinkhole,31,3,N,12.12.2019,12:41,311,7.88,25.09,175.3,176.5,37.13,0.1,164.9,96.07,0.12,0.08,0.07,2.34,2.89,2255.9,2499.3,208.7,6.7
32-1-2,Deep Sinkhole,32,8,S,12.12.2019,14:20,272,7.79,24.92,260.9,262.6,37.08,0.08,157.5,95.86,0.17,0.07,0.06,3.16,3.93,2306.4,2506.7,252.2,7.6
32-1-4,Deep Sinkhole,32,8,S,12.12.2019,14:20,272,7.92,25.19,149.8,150.8,37.14,0.09,168.3,96.36,0.1,0.09,0.07,2.14,2.56,2214.9,2480,222.6,6.4
33-1-2,Deep Sinkhole,33,2,W,12.12.2019,15:30,225,7.99,23.19,182.1,183.2,37.1,0.06,164,96.54,0.1,0.06,0.04,2.37,1.45,2135.6,2423.2,,5.8
34-1-16,Deep Sinkhole,34,3,N,12.12.2019,17:05,280,7.81,25,180.5,181.7,37.1,0.08,161.2,96.41,0.15,0.07,0.06,2.75,3.35,2302.8,2511.6,68.5,7
