ko	17-2-10	17-2-2	17-2-4	17-2-6	18-1-1	18-1-3	18-1-4	18-1-6	19-1-12	19-1-2	19-1-4	19-1-6	23-1-10	23-1-16	23-1-2	24-1-2	24-1-8	27-1-2	27-1-4	27-1-8	28-1-2	28-1-4	28-1-6	29-1-2	29-1-4	29-1-6	30-1-2	30-1-4	30-1-6	31-1-16	31-1-2	31-1-8	32-1-2	32-1-4	32-1-8	33-1-10	33-1-2	33-1-6	34-1-16	34-1-2	34-1-24	38-1-10	38-1-14	38-1-2	39-1-8	52-1-2	53-1-2	54-1-10	54-1-3	56-1-2	57-1-2	58-1-10	58-1-2	59-1-15	59-1-20	59-1-24	59-1-3	59-1-6	59-1-9	65-1-2	66-1-2	67-1-15	67-1-2	68-1-2	69-1-2	70-1-10	70-1-2
-	0.2606867101700403	0.14514390687599985	0.16638886273617354	0.2071774584109893	0.22248755051369554	0.2517716297610747	0.16893853087405605	0.20933279462794885	0.26514273962601204	0.153453443239521	0.1810086848033123	0.21411444574453714	0.21680456773450668	0.275601329007765	0.06090069619431327	0.2029635490350375	0.24258937403277123	0.16425327108536528	0.15921187805904058	0.22281957963287494	0.1507246056092712	0.18083867878259882	0.24919747047302437	0.17356586939182775	0.17453430351894478	0.2875252913575469	0.15497216593518143	0.18785922954853007	0.28487782803582384	0.25132597118297706	0.15073238906326933	0.15435866988214558	0.6773192365554557	0.15059294745375573	0.2133027991155493	0.2384742733117405	0.10914830951453554	0.21279373667676746	0.15213428981549879	0.611795551905663	0.24045319129355727	0.21997684538137835	0.24118826419322523	0.07636131191791928	0.1905177193565456	0.17805295157276788	0.1643265737805367	0.24176714164305957	0.17530948913789482	0.17534125935097614	0.1649698350916983	0.25530054130633334	0.21672590551456727	0.5706828023704242	0.16040522471152605	0.26990909811443187	0.65506909892349	0.6539843787188118	0.6725739418085753	0.1895165514193625	0.1646710811696427	0.25197798780587594	0.22176251846778125	0.17188680969870568	0.16411069619210403	0.19074240955469846	0.19574858256011246
ko:K00001	0.0009087466077414575	0.0005025377686160318	0.0005083315121134282	0.0007222583977322375	0.0007760696700488076	0.0007832230919126764	0.0005275646813361739	0.0007010212430004851	0.000833013199776195	0.00045485835408323776	0.0006246086146551327	0.0007611482584011605	0.00078761156028077	0.001028994271600285	0.00019366288706026787	0.0006799904620707927	0.000854679787504188	0.0004900081374521422	0.0005194577080117658	0.0007595773352564342	0.0005084470889120653	0.0005692176737293454	0.0007834603799520522	0.0005352856412079547	0.0005885654902139415	0.0010022469058148613	0.00048497486525948786	0.0006571387326369991	0.0009993649493770381	0.0007780964838430765	0.0004409894711150699	0.0004648303043087497	0.0013833015732463722	0.00048144960406702573	0.0007216765276448938	0.0007769370714236878	0.0003442604428687644	0.000728756994676784	0.00044487232536349935	0.001231499178886487	0.0008053290410251106	0.0006933111684689465	0.0008095882727916328	0.00023293731943624274	0.0007008439118413208	0.0006172255272542237	0.000575528745107148	0.0008204614599035919	0.0005870435951013188	0.0006084276130803734	0.0005622801654345701	0.0008974281856549624	0.0007083195080688627	0.0012744199986305293	0.0005055357036770483	0.0009284679794318854	0.001298729926835565	0.0013215212824808605	0.0013771168122648702	0.0005956986022554893	0.0005501257696993351	0.0007985875287736154	0.0006989929842672961	0.000638202738878156	0.0005704624257631143	0.0006126631228834972	0.0006636754631439535
ko:K00002	2.708742228880126e-05	7.327684549510672e-06	1.4724987852367381e-05	9.882995929341256e-06	2.02141183521271e-05	2.182519247789837e-05	8.745114326005306e-06	1.5783411743610603e-05	2.3202355258208694e-05	1.2947432366792251e-05	1.2701695101613419e-05	1.0639514453068261e-05	1.4641082007697383e-05	2.125789404636267e-05	3.374825546828102e-07	1.626800183602463e-05	2.0810724890976975e-05	1.0546491768596724e-05	1.3726957029980731e-05	1.7059559380205805e-05	1.1578993545994627e-05	1.7751545750622665e-05	1.4409652772647165e-05	1.0334004815548244e-05	1.3449515635193138e-05	2.6026147548645134e-05	9.051948629768902e-06	1.104077148948859e-05	2.277946447479317e-05	2.726893757783877e-05	4.070783626299139e-06	3.95825417722252e-06	6.420882739334273e-06	6.478954177972413e-06	1.2761826393983596e-05	1.757733303639566e-05	0.0	1.5309460547509758e-05	5.542671365556954e-06	4.584579739515211e-06	1.7784929725943542e-05	1.8919728315804018e-05	1.8830759716223176e-05	0.0	1.4895647748691557e-05	2.016368672411299e-05	1.17350145293038e-05	1.923748210655776e-05	1.5381369365191645e-05	1.0240700038614089e-05	1.0115644061867599e-05	2.694641930791054e-05	1.6619566960844444e-05	3.6736393312996916e-06	2.8629065151151865e-06	2.1454523906334807e-05	7.027255079794403e-06	4.695365369163996e-06	5.560959974460185e-06	1.8576801701420083e-05	1.0330238999069324e-05	1.82638108938389e-05	1.3723726470134677e-05	1.0502663083406715e-05	8.044180434113378e-06	1.601392662186784e-05	2.160893768307045e-05
ko:K00003	0.0007190050551383331	0.00040975952176716473	0.000442368711552684	0.0005248755665659998	0.0006702085769887346	0.0005842748555434247	0.0004551626610116887	0.000538675437438183	0.0006311101936694838	0.00035857432690950274	0.0004710251842615433	0.0005295174609960992	0.0005409251860414215	0.0009221861877579436	0.00014599316847524813	0.0004775858214202547	0.0006496954922015757	0.0003968810546732413	0.0003967581701564141	0.00048643043115389697	0.0003910467771464986	0.00045481868177946216	0.0005606981085256132	0.0004061260729033169	0.00045224384698979174	0.0007680926288863441	0.00039407531170625675	0.000485957299312133	0.0006583004123764055	0.0006290198731063126	0.0003347628498575451	0.00032911514221373823	0.0008981878085799417	0.0003300318516040179	0.0005636633239663479	0.000613736169230447	0.00029620413967765995	0.0005287647615984362	0.00032700664845205363	0.0007938523305199693	0.0006870006136037228	0.0005235415762006317	0.0005673784843827632	0.00016836157501482388	0.0005036932706701841	0.0004437651324954947	0.0004486692122440451	0.000579816279615005	0.0004315137979664564	0.0005051291984906947	0.0004317845327300272	0.0005727011054639904	0.0005287574237322966	0.0007501777827080639	0.0003251003700993306	0.0007614887892666131	0.0008383692707762785	0.0008664998821423525	0.0008210496171360769	0.0004655190072507735	0.0003998713475401404	0.0005846616164978675	0.000584394200323538	0.0004534599467151636	0.0004276616684689896	0.00043006009023559814	0.000476281978387006
ko:K00004	3.7602471333984866e-05	4.949506029434076e-05	4.67257840642048e-05	4.225734990157577e-05	4.079425028759817e-05	4.091060481519635e-05	4.500014723656722e-05	3.521390288243717e-05	4.071464726642892e-05	4.835748240781874e-05	3.4415781075450854e-05	3.7334870560477695e-05	4.3535600041419075e-05	3.82837282839198e-05	3.638395030050372e-05	3.8990835336689025e-05	4.340071251038981e-05	5.359797038051966e-05	4.1772668847448535e-05	3.4550982040614816e-05	3.629793962720008e-05	4.8010445292807716e-05	3.887571129488319e-05	6.261255946423185e-05	4.881544151460879e-05	4.541181241113636e-05	4.3500356457235426e-05	4.621174858297762e-05	4.465098939261088e-05	4.5782326502427034e-05	6.729333223360855e-05	7.114313382131519e-05	8.480615473006254e-05	6.464531842297287e-05	3.569437910761796e-05	3.91647723496305e-05	5.869523717156884e-05	3.43108238949192e-05	6.288619018687971e-05	8.138837940195393e-05	4.866255469896257e-05	3.661848743108137e-05	4.626996630351713e-05	4.010577849962419e-05	4.15080308404138e-05	3.6901024794468614e-05	4.9166914766386e-05	3.036805671115118e-05	3.719879725921503e-05	4.164549063506544e-05	4.554060885762164e-05	4.558145224625866e-05	4.740761609045671e-05	7.689883183839634e-05	7.337547783539588e-05	4.183892693386342e-05	8.188375950550653e-05	8.943582670734891e-05	9.497718319814934e-05	4.619560726114958e-05	4.430549693566052e-05	4.3796530578622716e-05	3.830712670972104e-05	4.146823604153158e-05	5.011410225014998e-05	3.1257088127373796e-05	4.014470677458976e-05
ko:K00005	9.807051786008193e-05	2.239540019756029e-05	4.543444670608301e-05	8.098806135139385e-05	6.210276113495652e-05	8.510688818384332e-05	4.203770126680297e-05	9.573248450056183e-05	9.941035115803788e-05	2.3421143081584068e-05	7.126224043893818e-05	0.00013204132072479666	0.00012333424675086443	4.791985731833118e-05	0.0	8.329626831457626e-05	0.00010042455199123833	2.5002068928354407e-05	5.037869108967088e-05	0.00013634612295132764	3.192333851969782e-05	4.805884761521935e-05	9.544587761073465e-05	2.492886671256731e-05	3.7385321213144484e-05	9.650501284248643e-05	2.3073064413450957e-05	4.2792456429592716e-05	0.00013710826758366547	7.751349565741184e-05	1.1608490007303201e-05	1.3157078571250163e-05	9.735786434171194e-06	1.0279783874533152e-05	6.671962549595504e-05	0.00012209532191881072	6.028120354069056e-06	7.877724424842472e-05	1.0162085648482125e-05	8.521687433296705e-06	8.72803131135305e-05	8.276605194069855e-05	9.751884402178628e-05	1.4505235769305732e-06	6.768610530874918e-05	6.790977974154369e-05	3.0173548636047533e-05	0.0001236306224178549	7.414328682255179e-05	3.214965437753958e-05	3.451828235140212e-05	7.36883410757874e-05	5.624211867461093e-05	1.0526807451793169e-05	9.296850427635895e-06	7.160311847648632e-05	6.26607248510528e-06	7.556487583724157e-06	1.1544853773812441e-05	5.0332487824671695e-05	2.450215011012222e-05	7.695502029954599e-05	5.9870119306779247e-05	3.386944777922948e-05	2.9876549564194635e-05	9.044616310922085e-05	5.701611850279875e-05
ko:K00006	2.703394147401177e-06	2.2852945524390443e-05	2.4821129860826196e-05	2.2136954474274123e-05	9.434269875416172e-06	6.608534831073462e-06	2.439670286955478e-05	2.7294219962175457e-05	2.2197854616524276e-06	2.4302210507458235e-05	3.095635432610845e-05	2.2967226657732604e-05	2.158052605196318e-05	2.4852666330864657e-06	2.5501684329714706e-05	2.747003520280298e-05	3.0119672970613493e-06	2.869813316688609e-05	2.264558002709564e-05	1.677972330466946e-06	2.7989808819611946e-05	2.2364358990222536e-05	1.828712600755446e-06	2.8331306284360132e-05	2.6181314781629645e-05	1.8775103407113025e-06	1.9980168887146173e-05	2.7294948746996445e-05	2.350876343509997e-06	3.003789082928808e-06	1.4403345900082649e-05	2.0566947232190714e-05	0.0	2.1710982064924083e-05	2.1603318835731576e-05	1.808280944446761e-06	2.4061528269157716e-05	2.141126054085277e-05	1.8015882623600254e-05	1.7517993722339888e-06	2.1362979148995533e-06	1.9341171267383603e-05	1.274603178377255e-06	1.9094521993198564e-05	2.3206733510853515e-05	2.5251017427507902e-05	2.6453369520707458e-05	2.9901981953331564e-06	2.259718189293548e-05	1.9467043004436975e-05	2.479472440424768e-05	7.2110509872776155e-06	2.0702246433372036e-05	0.0	1.681412069230516e-05	5.9153360265536774e-06	0.0	0.0	0.0	2.305712798698633e-05	2.0459642073235134e-05	3.6818940163745844e-06	1.1211251004632025e-05	2.137264161438603e-05	2.182296446070423e-05	4.004007780012473e-06	1.772988081660431e-05
ko:K00007	6.98470896589167e-05	7.15377533482383e-06	2.2522436984606438e-06	6.312105678093815e-06	4.170481022648799e-05	5.901688753261675e-05	8.088447463519338e-07	1.7117911276558798e-06	6.262509287643311e-05	3.92131085055456e-07	3.4451771437664075e-06	9.97700347804655e-06	9.815725831400102e-06	0.0001740666517203885	5.271448205605751e-06	7.0646822309125675e-06	7.342730246702319e-05	9.599344039921097e-07	4.3783661148078304e-07	5.079035019502455e-05	1.015322517686176e-06	2.9427193954902986e-06	4.906101104336602e-05	7.369270525103966e-07	1.4948745767257814e-06	9.213332156531964e-05	3.8912439884957674e-07	1.249826164366213e-06	6.446200553735003e-05	5.034950331553967e-05	4.850329534283577e-07	1.2293272368597574e-06	1.0376201479698373e-05	3.3536836910278367e-07	1.0184333207096747e-05	5.0507424360988226e-05	0.0	6.587155558989572e-06	7.899610107237023e-07	8.014647594147676e-06	3.821667711064275e-05	6.5351585354259345e-06	2.5640247540640718e-05	1.1959860736674776e-05	4.201946066547023e-06	4.016231630610423e-06	1.4470878260809507e-06	6.0690512449336346e-05	4.319931078131343e-06	3.885478666803357e-06	8.276861791113364e-07	0.00012468472545342993	1.2720338907795059e-05	5.446819421226474e-06	1.0434876949511834e-06	9.65051021623359e-05	8.296026424204455e-06	8.14343068942735e-06	6.353470859413889e-06	4.199484248614353e-06	1.8913417144961793e-06	0.00010417361570732408	4.256697811283615e-05	2.168141326188873e-06	1.7033869913683338e-06	3.827843535139544e-05	4.984761290384012e-06
ko:K00008	0.00018400003166400795	0.00011669740770041406	0.00013434030226015478	0.00013614973654661579	0.0001492801160223791	0.00018449332942148272	0.00012204919171053366	0.00012744488493742647	0.0001737835467663987	0.00011293716596335388	0.00011454032446824585	0.00013006183751662905	0.00014331144702288512	0.00019931748344752647	7.192632314981058e-05	0.00012366391676990385	0.00021513520981021324	0.0001250964930265664	0.00011422181567772876	0.0001281536568378934	0.00010547011044021737	0.00010685887882216399	0.00012110140148588031	0.00012906388903135584	0.00012204830673010323	0.00017142730389946417	0.00010726056780432422	0.0001379331738483839	0.00016032816117523307	0.00014596818315636484	0.0001784120263919667	0.00014832970249430467	0.000783340611791293	0.00014681026454860658	0.00014832313641637717	0.00015027000476681063	0.0001296635162357784	0.00014933953492007472	0.00014841641037336215	0.0007171201770873323	0.00015279278773576077	0.00014193110017526208	0.00013736583032644613	7.638233698191506e-05	0.00012709566250516043	0.00011970486564981336	0.00013336753629621088	0.00016754587869260225	0.00011896342504260641	0.00011900440075375561	0.00013831191105168056	0.00018739485002459115	0.00015902772512920596	0.0005317990645640683	0.00017035510681769224	0.00018877912007852268	0.0007439781079937775	0.0007515627570292978	0.000785213433365808	0.0001331425358484933	0.00013286677810992733	0.00016478161012959102	0.0001506409452674916	0.00013545674160675875	0.00012466316799747038	0.00013354335204189143	0.00013605822889397841
ko:K00009	6.122380698249781e-05	2.0860584672738355e-05	2.3408297053416153e-05	4.9217947334095304e-05	5.652124170734363e-05	4.767981093914215e-05	2.4410974986958202e-05	2.529182953903367e-05	6.292065646130251e-05	1.7339062333570456e-05	2.379572520222984e-05	3.341855204637077e-05	3.142694615414204e-05	0.00012908790858646963	0.0	2.221400266097465e-05	5.493769193168069e-05	2.2589345461792846e-05	2.240175492173661e-05	3.713387813130457e-05	2.7375199332088092e-05	2.7790759966999416e-05	4.304235072432133e-05	2.9580234293604833e-05	2.9081483950530103e-05	7.263786133512263e-05	1.8276165673057334e-05	2.1144410817555785e-05	7.085109103470216e-05	8.241790246604782e-05	1.1356380602796142e-05	1.4408702953460432e-05	9.880902826284134e-06	2.1588212162140884e-05	3.918951030178677e-05	6.722542913130363e-05	7.481251060476533e-06	3.812127221769975e-05	1.5684108120204353e-05	1.0363167364788814e-05	5.7840448567893125e-05	3.752482409468777e-05	3.2587082326712564e-05	0.0	2.7679466614190223e-05	1.7742091523819018e-05	1.967231774137236e-05	4.968989998851921e-05	2.1090807950366322e-05	2.981546208125123e-05	2.253842190137271e-05	6.0749218463824936e-05	3.604952893217046e-05	1.2241872809435844e-05	1.0545606962176616e-05	7.009729405584401e-05	7.82963581002139e-06	8.174163678708274e-06	9.154910053388346e-06	2.3110507028254404e-05	2.6004897629866684e-05	6.229358722670122e-05	4.838404750335238e-05	2.270855474394899e-05	2.1961489662205848e-05	4.010784231371641e-05	2.8763029378411832e-05
