classification,Acid Lake,Deep Sinkhole,Mesopelagic,Platform,Shallow Sinkhole,Surface
Unknown,-0.7056472686135151,-0.3597150997478601,-0.2951535541542221,-0.4925929000492959,-0.3798470558762834,-0.5990484307508516
p__4572-55,-5.588019490072169,-5.746406369360236,-5.402154716191522,-6.082815631716656,-6.002450514226239,-6.329310884868779
p__AABM5-125-24,-5.452548908443002,-5.439194062733955,-4.920872248016124,-5.823825173026131,-5.648350692978715,-6.103893805363177
p__ARS69,-5.384178768721751,-6.161681326249087,-5.2257325279921325,-6.74398202268983,-6.239226696588976,-6.9873812753504865
p__Abyssubacteria,-5.524196525039841,-5.827054599830622,-5.509292962553056,-6.35957050819827,-5.977687599535552,-6.730364933979645
p__Acidobacteriota,-2.2838654489512717,-2.3182294423356717,-2.188548610042877,-3.6552211468760185,-2.8441118455679426,-4.253982108589738
p__Actinobacteriota,-0.952469219319682,-1.7067587212174422,-1.5345291036425244,-1.434797975055569,-1.56413234829054,-1.369369316575429
p__Aenigmatarchaeota,-4.879822549766853,-5.353708314578072,-5.311021618873661,-5.601926559030422,-5.511828317905374,-5.240008603062745
p__Aenigmatarchaeota_A,-4.108983541395536,-4.074853100020824,-4.2535132791350785,-4.194554390080791,-4.1872019901537385,-4.348863462076422
p__Aerophobota,-5.575727746950144,-5.631363026216192,-5.532324900894395,-6.257032836162695,-5.9844466913348,-6.386799922388774
p__Altarchaeota,-5.096761155208625,-5.481714551206373,-5.304597696469594,-5.716797292324535,-5.648396639985256,-6.014759014932837
p__Aquificota,-5.250452257578569,-5.336351730769287,-5.418445753884493,-5.499399964636386,-5.207940754556281,-5.275562710362578
p__Armatimonadota,-4.317316730066817,-4.052288456218234,-4.135669774539704,-4.596346504483256,-4.32633633995247,-4.82216341166379
p__Asgardarchaeota,-4.698013025085838,-4.210314688789318,-4.349457731108935,-4.274698518102961,-4.167309193298336,-4.462176781903223
p__Aureabacteria,-6.029694666640763,-6.13776952717318,-5.7720393889200245,-6.676962067004994,-6.334092539360068,-6.566557856325015
p__Aureabacteria_A,-6.042956515363263,-6.042973511678907,-5.76441542360185,-6.394249288138799,-6.202257063585917,-6.725764929347257
p__B130-G9,-6.70863259723334,-6.90460129885362,-6.348554044315739,-7.043602748277548,-6.808516640337857,-7.431635027031037
p__BMS3Abin14,-6.199587385464311,-6.0603573294454245,-5.936650819420775,-6.569583017534903,-6.170968537761483,-6.991399963222837
p__Bacteroidota,-2.549152663628126,-2.0743969091510404,-2.1706413239066147,-1.5043691170542206,-1.7260552676720429,-1.1250378420353306
p__Bdellovibrionota,-3.6649735875054716,-2.795754913802074,-3.145321455618473,-2.751297149273426,-2.745545708101554,-3.0103534284204048
p__Bdellovibrionota_C,-4.52188778940992,-4.990846975475914,-5.096325881088332,-4.856349642832368,-4.741641890466482,-4.881440741230504
p__Bipolaricaulota,-5.091031127940222,-5.491352583812841,-5.19351099048166,-5.762281532947115,-5.558150874849868,-5.849208683889226
p__CAIJMQ01,-6.324366789318378,-6.595835612018284,-6.517601644073689,-6.987842231668247,-6.7338695584677914,-6.764170387928451
p__CG03,-5.564361552184727,-5.931082188773389,-5.609478883627157,-6.101560702936759,-5.89829663718211,-6.089112757656245
p__CG2-30-53-67,-6.316216425003215,-6.614218532126959,-6.22708920865538,-6.572835725752484,-6.654041583000409,-7.362088620474
p__CG2-30-70-394,-5.692949286094183,-6.329146275832851,-6.45969318406594,-7.028090827008058,-6.7643568950554345,-7.405068082450621
