,Acid Lake,Deep Sinkhole,Mesopelagic,Platform,Shallow Sinkhole,Surface
"met_1,2-aminoalcohols",0.0177662058799498,0.015650041672762512,0.0159746037086935,0.01664386775159712,0.016323745503174458,0.016324850165311953
"met_1,2-diacylglycerols",0.003818823274660467,0.00387916036257955,0.00343717005800755,0.003909801551847636,0.0034833329631617145,0.0036100301301358333
"met_1,2-diols",0.010973813440650168,0.012145858440826562,0.01178117579538575,0.011881695159207535,0.01291644295738915,0.011863653697233053
"met_1,3,5-triazines",0.0018409794278461166,0.0005044851912096125,0.0006266131550186,0.00046719729052223635,0.0005412934756160857,0.0005021391116388933
"met_1,3-aminoalcohols",2.121304847070807e-05,7.807549697232676e-05,7.069095170642215e-05,7.45023605314891e-05,6.502387700258936e-05,3.371200412361632e-05
"met_1,3-dicarbonyl_compounds",9.106074539852704e-05,0.0005401967701034,0.0002183909585903,0.0008512472319478728,0.0007756219275964714,0.0007074516657736599
"met_1,3-dioxolanes",9.273429669491149e-05,0.0005249940442534625,4.966552243511018e-05,0.00024021400481489334,0.0003684665878865714,0.0001146545914580291
met_Dioxepanes_+_4_others,2.501150872344126e-05,3.2646601186425124e-05,3.7564212790628835e-05,5.7579866230445425e-05,3.904956324782555e-05,9.65454331024413e-05
met_Hydroxybenzoic_acid_derivatives_+_6_others,1.5528218647797515e-06,1.0076617567171174e-05,1.522162614153684e-06,8.428014318324185e-05,2.679509310165992e-05,2.4452919674173838e-05
met_1-O-alkyl-sn-glycerols,9.208131658173509e-05,6.548563384545026e-05,4.272885144258625e-05,6.824131105791971e-05,7.822941071214512e-05,6.652272722100756e-05
met_Monoalkylglycerols|1-O-alkylglycerols,0.006360928160827217,0.006013108503740312,0.0055318163005744995,0.005053157065170836,0.005824945321640565,0.00486432207820816
met_Phosphocholines_+_5_others,2.4856269889829744e-05,3.5599249313389414e-05,1.6573368524688984e-05,4.916494436426187e-05,3.400136885104581e-05,6.334029246895267e-05
met_Lysophosphatidylethanolamines|1-acyl-sn-glycero-3-phosphoethanolamines,3.889780301673186e-06,2.071138740422348e-05,6.8234315445426e-06,2.2996128426917604e-05,2.0467020161662374e-05,2.252329821371316e-05
met_1-benzopyrans,0.00018795785732036668,0.0005453496070060625,0.00025867990355535,0.0006369469485498,0.0005498304843751286,0.0005414103813100534
met_1-hydroxy-2-unsubstituted_benzenoids,0.0016968961126690334,0.003363527024585225,0.0015704734563577998,0.004686541982347491,0.004031620745247936,0.00483299487026088
met_1-hydroxy-4-unsubstituted_benzenoids,0.0015460324323382,0.0012057863680655875,0.0006136263744239,0.0015786695579116364,0.0015205494383308642,0.0016647247070475067
met_1-monoacylglycerols,0.0013231382380917334,0.001775987203310525,0.00095408321087435,0.0014318627977841093,0.001559839018421743,0.00135807718634562
met_11-hydroxysteroids,0.0008866376383603833,0.0012868649276460001,0.0008767292632732,0.0012750094604212546,0.0010869599027808856,0.00123246788511938
met_12-hydroxysteroids,0.00016352129868252958,0.0001914181394799101,0.00026149020599425,0.00030124936878286364,0.00026804531770412853,0.0006658085823818866
met_Steroidal_glycosides|14-hydroxysteroids,2.247191745200886e-05,1.8805159799895654e-05,4.612392654947926e-05,2.2414834307424053e-05,3.0041718304524313e-05,3.1862997948263056e-05
met_17-hydroxysteroids,0.0005452079722474,0.0007836656033710875,0.0005237575507181,0.0008517908749565545,0.00068533783043005,0.0008400762859805467
met_17-oxosteroids,0.0002770883076024,0.00040495282771631246,0.00042928892475735,0.0004888247512075727,0.0003643048240584214,0.0005244309183707733
"met_Acetophenones|2,2-dimethyl-1-benzopyrans",9.362326477672575e-06,2.8089300719789014e-05,9.772762809052615e-06,3.798809547702661e-05,2.7052396178388823e-05,4.900302600426911e-05
"met_2,5-dioxopiperazines",1.6180914158721036e-05,7.418278750317044e-05,9.381118682039122e-06,8.446577360916873e-05,6.94397275677752e-05,5.352599431296424e-05
met_2-deoxystreptamine_aminoglycosides,0.00016673421898869998,0.0001657074513234875,0.00018538414542525,0.0001357321607343413,0.00016055591888101427,0.0001533035941692985
met_Aminocyclitols_and_derivatives,0.00016673421898869998,0.0001657074513234875,0.00018538414542525,0.0001357321607343413,0.00016055591888101427,0.0001533035941692985
met_Halobenzoic_acids_and_derivatives_+_5_others,9.393013551145151e-05,3.74077720663425e-07,0.0,0.0,0.0,0.0
"met_Delta-1,4-steroids|20-oxosteroids",0.0008627686888564666,0.0012037067233994876,0.00079083082906585,0.0011986131488380455,0.0010098056543492784,0.0011511388122884534
met_3-alkylindoles,9.204856507680181e-05,0.000443070823377,0.000202619060041,0.0006301403315307363,0.0005094668690062857,0.00057351900299408
met_3-alpha-hydroxysteroids,6.264912184907651e-05,3.8120344599861003e-05,3.484562366800965e-05,6.573665991183534e-05,4.838751002563516e-05,0.00028287859127185333
met_3-carboxy_steroids,6.849103589614728e-05,7.426930121263637e-05,0.00011568525912187606,0.00021206740547970507,0.00015705571840176981,0.0004887097337409253
met_3-hydroxy_delta-4-steroids,2.1618336783070363e-05,7.307217023187849e-05,8.16442071458092e-05,7.128906137469356e-05,7.332199318232285e-05,6.956111463571254e-05
met_3-hydroxysteroids,0.000358729554105,0.000558271141410525,0.0006014741295860999,0.0006478585161626637,0.0005159681243772786,0.0009628568657579467
"met_3-oxo_delta-1,4-steroids",0.0015297714208366833,0.0020213632363585876,0.0014384353242565,0.0019051230084630273,0.0017476017500585215,0.0019699799096793667
met_3-oxo_delta-4-steroids,0.0003769477473960833,0.0003371414695881375,0.0002932342819751,0.00026520486028524544,0.00026117653261735,0.0002751700093101333
met_3-oxosteroids,0.001860103614925733,0.0023735922895136126,0.0017359217977018,0.0021980781750857545,0.0020656272326525426,0.0022754613114132132
met_Biflavonoids_and_polyflavonoids_+_7_others,9.687020799348357e-07,7.947906684952074e-05,0.0,0.00010992228829382559,7.632212346668708e-05,2.460497801091638e-05
met_6-alkylaminopurines,0.00011125323921399204,5.11636928307852e-05,3.0256042196681353e-05,5.8355057735166724e-05,5.4020623026838414e-05,4.0709089990509605e-05
met_6-aminopurines,0.00011270446460346152,6.116494459900603e-05,3.332358904178265e-05,7.883033221611699e-05,8.88240219513218e-05,6.45820733172262e-05
met_7-hydroxysteroids,7.120692649045926e-05,0.00010600448726683133,0.0001221903137266317,0.00020541924840281818,0.00016131326025401255,0.0005280256364001933
met_Acetals,0.021532301291362754,0.025617994449153726,0.0206797655561286,0.02994630383174036,0.02869372576503732,0.027208840327997773
met_Acetamides,0.0017126258339015832,0.004510024413958025,0.00246345613946565,0.006526940354724236,0.003975151978836721,0.005012555979167647
met_Acetanilides,5.039916960145657e-05,3.811156162302661e-05,2.1145237174585755e-05,4.475830986063176e-05,3.633782564776521e-05,0.00014610664507643635
met_Acetohydroxamic_acids,0.00030540501937361666,0.000482777190076425,0.00031385388651829996,0.0004684788318774909,0.00043544067290042857,0.0005347687442004267
met_Acetylides,6.830055744295099e-06,7.234574400279239e-06,1.9230655012408246e-06,4.144780695922236e-06,5.008891119473708e-06,5.7007334774793944e-05
met_Acryloyl_compounds|Enones,0.00102591958885765,0.00202742987312705,0.0025539609696365,0.002372575484145618,0.0025580115130789715,0.0025743221347971136
met_Acyclic_diterpenoids,0.0010299046704904502,0.0004797660148829,0.00030732495790425,0.0003908604612151909,0.0003382676360077643,0.00037899767403178666
met_Acyclic_monoterpenoids,4.95913107471658e-05,0.0001959243704083619,2.593983265249892e-05,0.000600460469887509,0.00030642423208174284,0.00052259994196672
met_Acyclic_olefins|Alkatetraenes,9.732921682648305e-05,8.003410357430832e-05,8.218548170243461e-05,9.610811490563843e-05,7.847317304509707e-05,9.011470569859129e-05
met_Acyl_carnitines,0.0001282955633663548,6.025837484982157e-05,6.133863391887292e-05,5.0702997406402936e-05,4.643582130274523e-05,8.971316645281879e-05
met_Acylaminobenzoic_acid_and_derivatives|N-acetylarylamines,4.680357312026874e-05,2.58067391971945e-05,1.5329431664561174e-05,1.5538442303555787e-05,1.750512578465495e-05,8.638331762074485e-05
met_Acylaminosugars|Amino_sugars,5.774821801757453e-06,2.1914088710708444e-05,4.8654457276170165e-06,7.698873436994345e-05,2.914848070054667e-05,0.00018628894620417998
met_Adamantanones,0.00015274577769405756,0.0001378419777077625,0.0001313095725585,0.0001833400189668182,0.0001437633909626217,0.00016865151247548666
met_Alanine_and_derivatives,0.00045425828341648334,0.0005216508841293125,0.0006356290596089499,0.0006805180421724818,0.0008058034350864643,0.0008271666638875667
met_Alcohols_and_polyols,0.19246087401862688,0.2179023681127636,0.19008825420878575,0.23902264296017153,0.22863901798674743,0.244318049572344
met_Aldehydes,0.016020900396514166,0.018639781364084586,0.0106941356383779,0.01645727958263289,0.018318326869955475,0.01801227956227394
met_Alkaloids_and_derivatives,0.0005473184625087833,0.00014914309534215,0.00028932983112395623,0.000539363006825609,0.00020019461133765048,0.0010623338096495732
met_Organosulfonic_acids|Alkanesulfonic_acids,0.0001061685103102648,0.00032803913818905,0.00034246515237185,0.0004336013207533818,0.0003174647756582143,0.00026222675239886663
met_Alkanesulfonic_acids_and_derivatives,3.954442187767755e-05,0.0002513151894838625,0.000301205103191108,0.00037520841815243637,0.0002404573730578837,0.0002089484508774871
met_Alkanolamines,0.023051326817704134,0.026560028203659138,0.024879481501284648,0.0301615615830554,0.02792597916971815,0.028999693376699845
met_Alkyl_aryl_ethers,0.006864095608802683,0.011139378117546587,0.00713318089482135,0.012444211446787028,0.011564352440782215,0.01263813054444972
met_Alkyl_bromides,0.0001122045961046397,1.770844182636071e-05,3.4983466316509834e-05,5.3483615904651325e-05,2.628625906299578e-05,8.693203666084362e-05
met_Alkyl_chlorides,0.053373408899333,0.05936223439851063,0.06174797690456035,0.0554642119121433,0.056157732103140005,0.054791190032814255
met_Alkyl_fluorides,0.009817970995151717,0.01255310208478485,0.01008128436345685,0.01353639644037871,0.013831604853162871,0.014473354345662853
met_Alkyl_glycosides,0.0011734456930341667,0.000858232340870575,0.00100601489506305,0.0010311631009439456,0.0008459672752634357,0.0012449179811529465
met_Alkyl_halides,0.10896898257668379,0.08457747804418135,0.07998560765498855,0.0808130165233345,0.08144629430562321,0.0777850977846763
met_Alkyl_iodides,0.011319409571852049,0.0015394931152835876,0.0002906528995467,0.0012364565840942364,0.0016035273084705787,0.0010100662065081934
met_Alkyl_phosphates,0.0018900679914017331,0.001984675612665175,0.0015457541476444,0.0019909937746333184,0.002048220516253557,0.0020037734245740733
met_Alkyl_sulfates,4.0936823231311525e-05,0.00016931316924324999,9.368810158319112e-05,0.00017755608043895548,0.0001470793157976485,0.00016094610874517497
met_Alkyl-phenylketones,0.00024913046893071665,0.00041733719608978747,0.00023178396740629998,0.0005070498082476728,0.0004291122762214071,0.00045966998306899335
met_Alkylarylthioethers,0.00010670518595853884,0.00012632691257481756,6.294816084587375e-05,7.430814682999846e-05,9.009900468598418e-05,8.282378162834278e-05
met_Organoboron_compounds|Alkylboranes,9.146215134740759e-05,0.0002290238628565125,3.377998871762159e-05,0.00022828819442351819,0.00024599108221607144,0.00016567420131289332
met_Organic_oxoanionic_compounds_+_6_others,9.492912830894005e-08,0.0,0.0,3.0024921163571295e-07,1.868173419022635e-07,4.373860408673062e-05
met_Pentose_phosphates,9.492912830894005e-08,0.0,0.0,3.0024921163571295e-07,1.868173419022635e-07,4.373860408673062e-05
"met_Allyl-type_1,3-dipolar_organic_compounds",0.0009638881026395833,0.00059468383309295,0.0005631414171537,0.0008788033754902273,0.0007944638670236929,0.0008665799699326133
met_Alpha_amino_acid_amides,0.0093921578847198,0.005447151088253412,0.00469889841392935,0.0067971461965776634,0.005800416853768457,0.00969728726596908
met_Alpha_amino_acid_esters,0.003585113845166883,0.003084945720835425,0.0021397873912747,0.0039888516556714085,0.0034615120810022786,0.003953495690892933
met_Alpha_amino_acids,0.006435712470309017,0.007200445618983663,0.0073069125304494505,0.006979675811377009,0.007001511837296093,0.00664366374796972
met_Alpha_amino_acids_and_derivatives,0.04600360639386699,0.034746340046855076,0.0317768359473463,0.03591472819309054,0.034274212655853134,0.03898925892580772
met_Alpha_hydroxy_acids_and_derivatives,0.0003639736492104167,0.0005173025546986875,0.0001240142682933346,0.0005527109563787727,0.0004925418148568286,0.0004897041985957533
"met_Alpha,beta-unsaturated_carbonyl_compounds",0.0009408847949899333,0.0016537151106083875,0.0021512277451531,0.0019202871373188725,0.00203972164452815,0.002094369686704173
"met_Alpha,beta-unsaturated_carboxylic_esters",0.0055681173798287666,0.010737459964242212,0.0072400385865565,0.014583264757664373,0.011646845077092086,0.015717766828483668
"met_Alpha,beta-unsaturated_ketones",0.0010528054221328833,0.0020021596859246,0.0025155014523571,0.0023281734436218907,0.002513046490157186,0.0025831074104727065
met_Alpha-acyloxy_carbonyl_compounds,0.00035818841807055,0.0005700083261893625,0.0002974023472589,0.0006450137144612091,0.0004945841447795857,0.0006023734588497866
met_Alpha-acyloxy_ketones,0.00032534784600486667,0.0004636376676710875,0.0002890017053139,0.0005373292303853546,0.00039740182545689996,0.0005252443172004933
met_Alpha-amino_ketones,0.00030114641673181666,0.0004449819737178125,0.00049788772008075,0.0005157053285184455,0.00054174664872465,0.0005382670993522867
met_Alpha-aminonitriles,3.959359084582392e-05,4.770641962486527e-05,5.441900511226737e-05,3.1639510167821244e-05,4.524951252831454e-05,3.802752385538753e-05
"met_Alpha-branched_alpha,beta-unsaturated_ketones",1.7048128514541e-05,9.936334488968942e-05,2.520518346346042e-05,0.00010038208540943644,7.526152529311597e-05,8.112480195673457e-05
met_Alpha-haloketones|Alpha-chloroketones,0.00019735249487533334,3.0423586417896893e-06,4.673263362290145e-07,1.5443758945150494e-06,9.773490962412394e-07,3.000201482113433e-06
met_Alpha-halocarboxylic_acid_derivatives,6.417525210409315e-05,0.00010655308164158671,0.00014104673692055,6.768404559113468e-05,7.984453886100897e-05,7.64320316487382e-05
met_Alpha-halocarboxylic_acids_and_derivatives,5.847546384495864e-05,6.803681635697286e-05,0.00014104673692055,5.0046448352908065e-05,6.723436197287577e-05,5.587992187658671e-05
met_Alpha-hydroxy_ketones,0.0009057780489174,0.0013600361965363874,0.0008213691693299,0.0014417435243236547,0.0012143271076238643,0.0013420897927291266
met_Ambrosanolides_and_secoambrosanolides,0.0001254718732328934,0.00016006952595529905,0.0001288451665722047,0.00022634052728463946,0.00013226529215014363,0.00019934277032278156
met_Amines,0.15086410639086018,0.14007239429051868,0.14738544961314826,0.14622884205668155,0.14301368983985419,0.14560938102603602
met_Amino_acids,0.013249216931870566,0.017473074837396664,0.01484808137644035,0.020197426591689674,0.01830073586882872,0.02322905517701742
met_Amino_acids_and_derivatives,0.1584334098665679,0.108017752377844,0.1065829854327914,0.11159962063633082,0.11464958305226526,0.11373344422192845
"met_Amino_acids,_peptides,_and_analogues",0.15659286976421918,0.10587348329502994,0.104078442277795,0.10958194461680097,0.11248851817688323,0.11182799102610484
met_Amino_fatty_acids,0.14245744579227976,0.14865377629312884,0.15955975007375356,0.14661007932916933,0.15097325480007953,0.1406656532921249
met_Aminocyclitol_glycosides|Cyclohexanols,0.0012879213396028834,0.00463423614246675,0.0032211014351900998,0.005133561019234918,0.005073228632609129,0.004317179835940733
met_Aminoglycosides,0.0013103932570548832,0.004653041302266675,0.0032672253617396004,0.0051559758535423455,0.0051032703509136645,0.004349042833889013
met_Aminophenyl_ethers,2.0847662275929693e-05,0.00010188169821057338,9.292473692659037e-06,0.0001486489432356909,0.00010276778797996639,0.00012372307380016727
met_Aminopyrimidines_and_derivatives,0.00138493544766135,0.001763563617893875,0.0015175121677773,0.0017223503652078636,0.001678571209951907,0.0019169190414102266
met_Aminosaccharides,0.0016522282908310833,0.005016125635308075,0.0038147512500775003,0.005628578798965118,0.005483888601501156,0.004939143126160613
met_Benzenesulfonamides|Aminosulfonyl_compounds,5.949860604819954e-06,1.5128396027676945e-05,7.709993518018042e-06,3.0631781822621703e-05,6.635979199167079e-05,7.289857440266682e-05
met_Triazines|Aminotriazines,0.0003833407504063833,0.0003476594398095875,0.0005382295395296,0.0003133772328111,0.00031543475938054284,0.00037079841466048
met_Phenethylamines|Amphetamines_and_derivatives,0.00109149982084505,0.0014178684584553874,0.0012937833498682001,0.0012939772822488545,0.0013495640149808357,0.0011607135037731268
met_Androgens_and_derivatives,0.00031791322954571665,0.00035196886914105,0.00031172800034910003,0.00030398745141566367,0.0003023004974018,0.00031046620795592664
met_Androstane_steroids,0.00043359417543743333,0.00036466756653765,0.0003140800505181,0.00031197606573651817,0.00030570628632705,0.00035951959385371337
met_Anilides,0.0007059581367453,0.00092194888541135,0.00116237502181205,0.0011721714692773636,0.0012706679453710929,0.0013177453488014933
met_Aniline_and_substituted_anilines,0.002083028693063633,0.0019021024451289876,0.00209915029151565,0.0023250136739486364,0.0020487780859440715,0.002291926306175847
met_Anisoles,0.0016815924673556665,0.0030582399213632,0.00119567804136905,0.003169749804084854,0.003185852120994872,0.0030438738781023867
met_Aralkylamines,0.0021727572259747667,0.004323324930951213,0.0077683197703027,0.004430464918947764,0.004172450174192057,0.004097764941194433
met_Aromatic_alcohols,0.00036961456824095,0.0005176517494255875,0.00013364167620923188,0.0008303643259144727,0.0006078138955408929,0.0013192650437384534
met_Aromatic_hydrocarbons,0.00012337687549003325,8.089929426378246e-05,8.905911984768896e-05,0.0001011900837809131,8.056202071742771e-05,0.00010624148049937888
met_Aromatic_monoterpenoids,0.0001013180351148349,0.00013393681589915,6.449771636916999e-05,0.00022773211362824545,0.00013935058528750713,0.00028508314821284667
met_Artemisinins,2.0709887324907878e-07,4.7225141026989243e-07,0.0,1.3657888136214277e-06,1.0326433341801022e-05,6.776598990600083e-07
met_Aryl_alkyl_ketones,0.004487878728647616,0.005904967655144262,0.00312242900858705,0.005731990938959727,0.005935759706311829,0.00629255992854648
