## Date
## emapper-2.1.12
## /path/to/emapper.py -m diamond --sensmode fast --itype proteins -i  path/to/selected_proteins.fasta -o path/to/output --data_dir ./egg-db/
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
17-2-2_NODE_523103_length_325_cov_1.491935_2	13249.RPRC015095-PA	2.67e-13	65.1	COG0008@1|root,KOG1149@2759|Eukaryota,38CS1@33154|Opisthokonta,3B9AD@33208|Metazoa,3D01P@33213|Bilateria,41WUH@6656|Arthropoda,3SHVF@50557|Insecta,3E9S1@33342|Paraneoptera	33208|Metazoa	J	tRNA synthetases class I (E and Q), catalytic domain	EARS2	GO:0000959,GO:0003674,GO:0003824,GO:0004812,GO:0004818,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006424,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0032543,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050561,GO:0070127,GO:0071704,GO:0090304,GO:0140053,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.17	ko:K01885	ko00860,ko00970,ko01100,ko01110,ko01120,map00860,map00970,map01100,map01110,map01120	M00121,M00359,M00360	R05578	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko02048,ko03016	-	-	-	tRNA-synt_1c
17-2-2_NODE_523113_length_325_cov_1.491935_1	82654.Pse7367_3015	6.44e-21	94.0	COG0457@1|root,COG0859@1|root,COG0457@2|Bacteria,COG0859@2|Bacteria,1G193@1117|Cyanobacteria,1H799@1150|Oscillatoriales	1117|Cyanobacteria	M	Tetratricopeptide repeat	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_trans_1_2,Glyco_transf_9,Glycos_transf_1,TPR_1,TPR_11,TPR_16,TPR_17,TPR_2,TPR_8
17-2-2_NODE_523117_length_325_cov_1.491935_1	51337.XP_004650328.1	1.46e-27	112.0	COG2072@1|root,KOG1399@2759|Eukaryota,39RUC@33154|Opisthokonta,3BIQ5@33208|Metazoa,3CTEJ@33213|Bilateria,487YF@7711|Chordata,48ZPY@7742|Vertebrata,3JAJN@40674|Mammalia,35NA5@314146|Euarchontoglires,4Q0X0@9989|Rodentia	33208|Metazoa	Q	FAD-dependent oxidoreductase domain-containing protein 2	FOXRED2	GO:0000166,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005788,GO:0006508,GO:0006511,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010033,GO:0010243,GO:0010498,GO:0012505,GO:0019538,GO:0019941,GO:0030163,GO:0030433,GO:0031974,GO:0033554,GO:0034976,GO:0036094,GO:0036503,GO:0042221,GO:0043161,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0048037,GO:0050660,GO:0050662,GO:0050896,GO:0051603,GO:0051716,GO:0070013,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901698	-	-	-	-	-	-	-	-	-	-	Pyr_redox_3
17-2-2_NODE_523133_length_325_cov_1.491935_1	207954.MED92_01289	2.07e-20	92.4	COG5001@1|root,COG5001@2|Bacteria,1NWXR@1224|Proteobacteria,1T34Z@1236|Gammaproteobacteria	1236|Gammaproteobacteria	T	Putative diguanylate phosphodiesterase	-	-	-	-	-	-	-	-	-	-	-	-	EAL,GGDEF,Response_reg
17-2-2_NODE_536151_length_322_cov_0.787755_1	60520.HR47_10605	2.89e-20	92.0	COG0188@1|root,COG0188@2|Bacteria,1TP2Z@1239|Firmicutes,4HAHY@91061|Bacilli,3F3YM@33958|Lactobacillaceae	91061|Bacilli	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrA	-	5.99.1.3	ko:K02469	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseA_C,DNA_topoisoIV
17-2-2_NODE_536156_length_322_cov_0.787755_1	693986.MOC_4152	8.91e-05	47.8	COG1946@1|root,COG1946@2|Bacteria,1MV9R@1224|Proteobacteria,2TRFD@28211|Alphaproteobacteria,1JQT1@119045|Methylobacteriaceae	28211|Alphaproteobacteria	I	TIGRFAM acyl-CoA thioesterase II	tesB	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006163,GO:0006629,GO:0006631,GO:0006637,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009117,GO:0009150,GO:0009259,GO:0009987,GO:0016042,GO:0016054,GO:0016289,GO:0016787,GO:0016788,GO:0016790,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0033865,GO:0033875,GO:0034032,GO:0034641,GO:0035383,GO:0042802,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0046483,GO:0047617,GO:0051186,GO:0055086,GO:0071704,GO:0072329,GO:0072521,GO:1901135,GO:1901360,GO:1901564,GO:1901575	-	ko:K10805	ko01040,map01040	-	-	-	ko00000,ko00001,ko01000,ko01004	-	-	-	4HBT_3
17-2-2_NODE_536175_length_322_cov_0.783673_1	1501269.EW15_0798	3.83e-12	60.8	2B8PJ@1|root,321Z5@2|Bacteria,1GHXG@1117|Cyanobacteria,1MN8P@1212|Prochloraceae	1117|Cyanobacteria	S	Alternative locus ID	-	-	-	-	-	-	-	-	-	-	-	-	-
17-2-2_NODE_536218_length_322_cov_0.775510_1	1002672.SAR11G3_00999	1.56e-39	142.0	COG0436@1|root,COG0436@2|Bacteria,1MW0Z@1224|Proteobacteria,2UR5H@28211|Alphaproteobacteria,4BT8A@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	E	Allinase	-	-	2.6.1.1	ko:K00812	ko00220,ko00250,ko00270,ko00330,ko00350,ko00360,ko00400,ko00401,ko00950,ko00960,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map00250,map00270,map00330,map00350,map00360,map00400,map00401,map00950,map00960,map01100,map01110,map01130,map01210,map01230	-	R00355,R00694,R00734,R00896,R02433,R02619,R05052	RC00006	ko00000,ko00001,ko01000,ko01007	-	-	-	Aminotran_1_2
17-2-2_NODE_553148_length_317_cov_1.816667_1	1122609.AUGT01000032_gene449	7.7e-15	76.3	COG1804@1|root,COG1804@2|Bacteria,2GMIW@201174|Actinobacteria,4DUGI@85009|Propionibacteriales	201174|Actinobacteria	C	CoA-transferase family III	-	-	-	-	-	-	-	-	-	-	-	-	CoA_transf_3
17-2-2_NODE_553159_length_317_cov_1.791667_1	926562.Oweho_2974	6.48e-18	82.0	COG1428@1|root,COG1428@2|Bacteria,4NFA8@976|Bacteroidetes,1HXE9@117743|Flavobacteriia,2PA5G@246874|Cryomorphaceae	976|Bacteroidetes	F	Deoxynucleoside kinase	dck	-	-	-	-	-	-	-	-	-	-	-	dNK
