genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric,cluster_member_list
29-1-2-15.fna,79.414592966407,83.33,1.2,75,1863990,18586,39_0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1;s__MGIIa-K1 sp12207u,,1,,,substantial,low,{'29-1-2-15.fna'}
59-1-15-11.fna,72.3352829099003,82.93,2.4,0,2152316,51353,68_0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A;o__Poseidoniales;f__Thalassarchaeaceae;g__;s__,,1,,,substantial,low,{'59-1-15-11.fna'}
38-1-10-15.fna,80.5823164997291,82.27,0.86,50,1729099,18842,37_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-N2;s__MGIIb-N2 sp002712285,,2,99.48,99.48,substantial,low,"{'58-1-2-16.fna', '38-1-10-15.fna'}"
59-1-15-7.fna,86.4025478165485,84,0,0,1549950,51021,36_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__,,7,99.91,99.73,substantial,none,"{'59-1-20-13.fna', '59-1-3-10.fna', '34-1-2-7.fna', '32-1-2-3.fna', '59-1-9-17.fna', '59-1-15-7.fna', '59-1-6-15.fna'}"
31-1-2-27.fna,79.9480358312112,77.6,0,0,1463444,39866,36_2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__,,3,99.78,99.77,substantial,none,"{'31-1-8-14.fna', '31-1-2-27.fna', '32-1-4-7.fna'}"
18-1-6-13.fna,-13.4904372121342,75.39,21.04,72.5,1712624,10743,38_0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002497025,,1,,,substantial,very high,{'18-1-6-13.fna'}
31-1-8-13.fna,83.4285631819254,81.24,0,0,1232708,19473,32_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001629235,,25,99.56,99.11,substantial,none,"{'30-1-4-1.fna', '27-1-2-7.fna', '32-1-4-19.fna', '19-1-6-5.fna', '70-1-2-6.fna', '69-1-2-4.fna', '32-1-8-7.fna', '24-1-2-10.fna', '52-1-2-3.fna', '53-1-2-13.fna', '65-1-2-8.fna', '19-1-4-6.fna', '56-1-2-3.fna', '17-2-4-4.fna', '68-1-2-7.fna', '29-1-4-12.fna', '29-1-2-8.fna', '28-1-4-5.fna', '18-1-4-12.fna', '18-1-6-6.fna', '28-1-2-10.fna', '39-1-8-6.fna', '31-1-8-13.fna', '27-1-4-4.fna', '57-1-2-5.fna'}"
59-1-9-47.fna,86.7102046355665,87.56,0.8,100,2082076,40217,1_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-Q1;s__,,6,99.87,99.75,substantial,low,"{'59-1-15-25.fna', '59-1-6-51.fna', '32-1-2-33.fna', '59-1-9-47.fna', '34-1-2-21.fna', '59-1-3-36.fna'}"
59-1-20-25.fna,71.0926556711344,76.05,1.6,50,1332820,24544,33_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__,,2,99.77,99.77,substantial,low,"{'59-1-20-25.fna', '31-1-2-22.fna'}"
33-1-2-10.fna,81.6979113259687,80.36,0,0,1283387,37655,35_0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__,,1,,,substantial,none,{'33-1-2-10.fna'}
