cluster_representative	cluster_member	nreads	fraction_reads	contig_length	norm_coverage	classification_member	classification_representative
23-1-10_NODE_741949_length_276_cov_0.356784_1	23-1-10_NODE_741949_length_276_cov_0.356784_1	5	1.9948430912280048e-07	276	6.367181401937548e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A
23-1-10_NODE_741949_length_276_cov_0.356784_1	19-1-12_NODE_1206319_length_228_cov_2.933775_2	7	2.017130393417654e-07	228	9.025365595865526e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A
23-1-10_NODE_741950_length_276_cov_0.356784_1	23-1-10_NODE_741950_length_276_cov_0.356784_1	2	7.979372364912019e-08	276	2.546872560775019e-07	root;d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8592;g__UBA8592	root;d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8592;g__UBA8592
23-1-10_NODE_741950_length_276_cov_0.356784_1	19-1-6_NODE_1280467_length_243_cov_1.644578_1	5	1.692886544910655e-07	243	6.084649269810579e-07	root;d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8592;g__UBA8592	root;d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8592;g__UBA8592
23-1-10_NODE_760191_length_273_cov_1.352041_1	23-1-10_NODE_760191_length_273_cov_1.352041_1	5	1.9948430912280048e-07	273	6.437150428332466e-07	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus
23-1-10_NODE_760191_length_273_cov_1.352041_1	27-1-4_NODE_1458357_length_237_cov_2.218750_1	6	1.9112729746957014e-07	237	7.58177828488242e-07	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus
23-1-10_NODE_760191_length_273_cov_1.352041_1	34-1-24_NODE_1065831_length_239_cov_0.907407_1	2	6.751011554693826e-08	239	3.002221377014111e-07	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus
23-1-10_NODE_760191_length_273_cov_1.352041_1	67-1-2_NODE_1088130_length_256_cov_1.173184_1	10	3.380417820994842e-07	256	1.2843496642594387e-06	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus
23-1-10_NODE_760198_length_273_cov_1.352041_1	23-1-10_NODE_760198_length_273_cov_1.352041_1	4	1.5958744729824037e-07	273	5.149720342665973e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__GCA-002718135;g__AG-337-I02;s__AG-337-I02 sp902540265	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__GCA-002718135;g__AG-337-I02;s__AG-337-I02 sp902540265
23-1-10_NODE_760198_length_273_cov_1.352041_1	18-1-6_NODE_1128988_length_250_cov_1.028902_1	3	9.448778424130215e-08	250	3.4162239071229695e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__GCA-002718135;g__AG-337-I02;s__AG-337-I02 sp902540265
